id,es_ES,en_EN
KEY0_dialogue0,_acceso al Compartimento Secreto:,_access to the Secret Compartment:
KEY0_dialogue1,-Primera fila: Presiona el Tercer libro desde la izquierda.,-First row: Press the third book from the left.
KEY0_dialogue2,-Tercera fila: Encuentra y presiona el libro situado exactamente en la mitad.,-Third row: Find and press the book located exactly in the middle.
KEY0_dialogue3,-Segunda fila: Presiona el quinto libro desde la izquierda.,-Second row: Press the fifth book from the left.
KEY0_dialogue4,Medicación:,Medication:
KEY0_dialogue5,Efectos positivos:,Positive effects:
KEY0_dialogue6,-Reducción de dolor muscular.,-Reduction of muscle pain.
KEY0_dialogue7,-Reducción de síntomas de estrés.,-Reduction of stress symptoms.
KEY0_dialogue8,-Prevención d_ ataques card_____,-Prevention of heart attacks.
KEY0_dialogue9,"Un fragmento de una foto familiar, mi hermano...…","A fragment of a family photo, my brother...…"
KEY0_dialogue10,Una pildora extraña,A strange pill
KEY0_dialogue11,"Una llave antigua, aparentemente abre un candado","An old key, apparently opening a padlock"
KEY1_dialogue0,Solo cajas vacías.,Only empty boxes.
KEY1_dialogue1,Esta caja no tiene nada.,This box has nothing in it.
KEY1_dialogue2,Solo cajas sin importancia.,Just unimportant boxes.
KEY1_dialogue3,Solo telarañas y papeles.,Just cobwebs and papers.
KEY1_dialogue4,Un estante caído.,A fallen shelf.
KEY1_dialogue5,Este reloj ya no funciona.,This watch no longer works.
KEY1_dialogue6,Quisiera saber la hora.,I would like to know the time.
KEY1_dialogue7,Un reloj inútil.,A useless watch.
KEY1_dialogue8,Solo chatarra y madera vieja.,Just scrap metal and old wood.
KEY1_dialogue9,No es tiempo de descansar.,It's not time to rest.
KEY1_dialogue10,Solo una cama vieja.,Just an old bed.
KEY1_dialogue11,Un par de sábanas sucias.,A couple of dirty sheets.
KEY1_dialogue12,El viejo tocadiscos de mi padre.,My father's old record player.
KEY1_dialogue13,¿Funcionará?,Will it work?
KEY1_dialogue14,Un tocadiscos polvoriento.,A dusty record player.
KEY1_dialogue15,Una cómoda vacía.,An empty dresser.
KEY1_dialogue16,Solo polvo.,Just dust.
KEY1_dialogue17,Vacía...,Empty...
KEY1_dialogue18,No hay nada útil aquí.,There is nothing useful here.
KEY1_dialogue19,Nada que valga la pena.,Nothing worthwhile.
