id,es_ES,en_EN
KEY0_flashback0,Hola.,Hello.
KEY0_flashback1,Hey.,Hey.
KEY0_flashback2,¿Cómo estás?,How are you?
KEY0_flashback3,¿Qué queres?,What do you want?
KEY0_flashback4,¿No puedo saludar a mi hermano sin tener ningún motivo?,Can't I say hello to my brother for no reason?
KEY0_flashback5,…,…
KEY0_flashback6,"Estoy... bien, gracias por preguntar.","I'm good, thank you for asking."
KEY0_flashback7,"Sé que últimamente no he sido un buen hermano, pero me gustaría volver a llevarnos bien.","I know I haven't been a good brother lately, but I'd like to get along again."
KEY0_flashback8,Seguro…,Sure…
KEY0_flashback9,"Lo digo en serio... Sé que por mi culpa los he jodido a todos en esta casa, pero lo voy a solucionar.","I'm serious... I know it's my fault I've screwed everyone in this house, but I'm going to fix it."
KEY0_flashback10,Estoy... tratando de solucionarlo y quiero empezar ahora... con nosotros.,I'm... trying to figure it out and I want to start now... with us.
KEY0_flashback11,¿De verdad?,Really?
KEY0_flashback12,"¡Sí! Sé lo solo que te sientes últimamente, papá también está distante con todos por mí…","Yeah! I know how lonely you feel lately, dad is also distant with everyone because of me..."
KEY0_flashback13,No…,Not…
KEY0_flashback14,No es toda tu culpa.,It's not all your fault.
KEY0_flashback15,"Esto es... difícil para todos, así que no te culpo de todo.","This is... difficult for everyone, so I don't blame you for everything."
KEY0_flashback16,Solo estoy cansado.,I'm just tired.
KEY0_flashback17,Lo sé y no sabes cuánto lo lamento.,I know and you don't know how sorry I am.
KEY0_flashback18,Gracias.,Thank you.
KEY0_flashback19,"Pero sé que has estado ayudando a mamá en todo, incluso conseguiste un trabajo.","But I know you've been helping mom with everything, you even got a job."
KEY0_flashback20,"Sé que te va bien, incluso aunque ayudes a la familia con los gastos, te sobra","I know they are paying you well, even if you help the family with expenses, you still have leftovers."
KEY0_flashback21,¿Qué estás tratando de decir?,What are you trying to say?
KEY0_flashback22,Necesito plata.,I need money.
KEY0_flashback23,¿En serio? ¿Otra vez?,Is seriously? Again?
KEY0_flashback24,Necesito que me ayudes.,I need you to help me.
KEY0_flashback25,¿Para qué lo queres ahora?,What do you need it for?
KEY0_flashback26,"No puedo decírtelo, pero es urgente y esta será la última vez que te lo pida","I can't tell you, but it's urgent and this will be the last time I'll ask you."
KEY0_flashback27,"Sabía que esta conversacion de mierda era una mentira, ¿viniendo aquí a decirme que volvamos a ser como éramos antes?","I knew it, I knew this shit talk was a lie, coming here to tell me to go back to the way we were before?"
KEY0_flashback28,Andate a la mierda.,Fuck off.
KEY0_flashback29,No te voy a dejar que me hables así.,I'm not going to let you talk to me like that.
KEY0_flashback30,Soy tu hermano y me tenes que hablar con respeto.,I am your brother and you have to speak to me with respect.
KEY0_flashback31,"No puedo creer que me pidas respeto, me das asco. Esta familia se está yendo cada vez más en la mierda y es todo tu culpa.","I can't believe how you're asking me for respect, you make me sick. This family is sinking deeper and deeper into shit and it's all your fault."
KEY0_flashback32,"¿Mi culpa?, necesito la plata.",My fault? Shut up and give me what I asked for.
KEY0_flashback33,¿Para volver a drogarte?,To get high again?
KEY0_flashback34,¡Que te importa!,That's none of your business!
KEY0_flashback35,Solo te lo voy a decir una vez... Dame la plata.,I'm just going to ask for it one more time... Give me the money.
,,#VALUE!
Dárselo | No dárselo,,#VALUE!
KEY0_flashback36,"No te voy a dar nada, drogadicto de mierda.","I'm not going to give you anything, you fucking drug addict."
KEY0_flashback37,¡Cállate!,Be quiet!
KEY0_flashback38,¿Qué mierda te pasa?,What the fuck is wrong with you?
KEY0_flashback39,"Y, y, yo lo siento, yo no quería, déjame ayudarte...","And, and, I'm sorry, I didn't want to, let me help you..."
KEY0_flashback40,¡No me toques! Agarra lo que queras y andata a la mierda.,Do not touch me! Take what you want and get the fuck out of here.
KEY0_flashback41,Yo...,I...
KEY0_flashback42,¡Déjame solo!,Leave me alone!
,,#VALUE!
Dárselo | Dárselo,,#VALUE!
KEY0_flashback43,"Toma la plata, no puedo creer que seas mi hermano, hace lo que queras, no me importa.","Take the money, I can't believe you're my brother, do whatever you want, I don't care."
KEY0_flashback44,Viste que no era tan dificil,You saw that it wasn't that difficult
KEY0_flashback45,No quiero saber nada mas de vos.,I don't want to know anything more about you.
KEY0_flashback46,Bastardo!,Bastard!
